Name	Actor	Genre	Directors	Maturity	Story-line	Popularity	Distributed_by	Production_Company,Name,Production_Company,Distributed_by,Popularity,Story-line,Actor,Maturity,Genre,Directors
80220496,I Feel Pretty,,,,"After a spin class accident, a woman plagued by self-doubt wakes up with newfound confidence and a fearless outlook on life, dating and booty-shaking.","Amy Schumer, Michelle Williams, Emily Ratajkowski",13+ ,"Hollywood Films, Comedies",Marc Silverstein
80216779,"Ray Romano: Right Here, Around the Corner",,,,Comedy legend Ray Romano comes to Netflix with an exclusive one-hour stand-up special.,,13+ ,"Stand-up & Chat Shows, Comedies, Stand-up Comedy",
80202133,Nightflyers,,,,"Based on George R.R. Martin’s novella, this series follows eight scientists and a telepath on a harrowing expedition to make contact with aliens.","Miranda Raison, Gretchen Mol, Eoin Macken",16+ ,"Series, TV Programmes based on Books, American Programmes, Horror Programmes, Sci-Fi & Fantasy Programmes, Cyberpunk",
80231468,Christmas in the Wild,,Netflix,,"After her husband leaves her, a stylish New Yorker goes on an African safari alone and finds new purpose in her life. Kristin Davis and Rob Lowe star.",,,"Action & Adventure, Adventures, Romantic Films",
80991329,Larva Island,,,,"Stranded on a tropical island, two silly larva buddies find slapstick fun in everything from discovering food to meeting new animal friends.","Hong Bum-ki, Eddy Lee, Ahn Hyo-min",7+ ,"Animation, Series, Asian Programmes, Kids’ Programmes, Little Kids TV, Comedy Programmes, Little Kids, TV Cartoons",
80179782,The Epic Tales of Captain Underpants,Netflix,,Sean Astin narrates this epic animated series based on the novels by author/illustrator Dav Pilkey.,Fourth-grade friends George and Harold have a shared love of pranks and comic books -- and turning their principal into an undies-wearing superhero.,"Nat Faxon, Jay Gragnani, Ramone Hamilton",7+ ,"Animation, Series, TV Programmes based on Books, Kids’ Programmes, Comedy Programmes, Superheroes, TV Cartoons",
80227995,Minecraft: Story Mode,,,,"Take control of an adventure set in the Minecraft universe. The future of the world is at stake, and your decisions shape the story -- so choose wisely!","Patton Oswalt, Catherine Taber, Sean Astin",7+ ,"Animation, Series, Kids’ Programmes, TV Cartoons",
80232279,Gnome Alone,"
Vanguard Animation
3QU Media
Cinesite
",Netflix,,"After moving into a new house with her mom, high schooler Chloe discovers a troupe of talking garden gnomes who need her help saving the world.","Becky G., Josh Peck, Tara Strong",7+ ,"Animation, Children & Family Films, Comedies",Peter Lepeniotis
80124711,Super Monsters,Netflix,,,Preschool kids whose parents are the world's most famous monsters try to master their special powers while preparing for kindergarten.,"Erin Matthews, Alessandro Juliani, Andrea Libman",All ,"Animation, Kids' Music, Series, Kids’ Programmes, Education, Little Kids TV, Little Kids, TV Cartoons, Education & Guidance",
80057506,Edgar Rice Burroughs' Tarzan and Jane,,,Edgar Rice Burroughs's classic jungle tale gets a modern makeover in this stylish animated series.,"Saved from a plane crash and given supernatural powers, teen Tarzan joins forces with brave city girl Jane to protect his jungle home from threats.","Marci T. House, Michael Dobson, Omari Newton",7+ ,"Animation, Series, TV Programmes based on Books, Kids’ Programmes, TV Cartoons",
