Name	Actor	Genre	Directors	Maturity	Story-line	Popularity	Distributed_by	Production_Company,Name,Production_Company,Distributed_by,Popularity,Story-line,Actor,Maturity,Genre,Directors
80118002,Udta Punjab,Balaji Motion PicturesPhantom Films,Balaji Motion PicturesWhite Hill Studios,,"Drug abuse and the darker side of Punjab rear their heads in the intense, interwoven tales of a cop, a doctor, a migrant worker and a rock star.","Shahid Kapoor, Kareena Kapoor, Alia Bhatt",16+ ,"Critically-acclaimed Films, Indian Films, Hindi-Language Films, Bollywood Films, Award-winning Films, Filmfare Award-winning Films, Crime Films, Gangster Films, Crime Dramas, Dramas, Social Issue Dramas",Abhishek Chaubey
80158042,Dear Zindagi,Red Chillies EntertainmentDharma ProductionsHope Productions,Red Chillies Entertainment,,A young cinematographer with a bright professional future and a lack of empathy learns the importance of balancing ambition with humanity.,"Alia Bhatt, Shah Rukh Khan, Ira Dubey",13+ ,"Critically-acclaimed Films, Indian Films, Hindi-Language Films, Bollywood Films, Comedies, Dramas, Showbiz Dramas",Gauri Shinde
80095530,Haraamkhor,"
Sikhya Entertainment
Khusro Films
",Indian Film Studios,"""Haraamkhor"" star Shweta Tripathi won the Grand Jury Prize for Best Actress at the L.A. Indian Film Festival in 2015.","A selfish, manipulative schoolteacher takes advantage of a schoolgirl's vulnerability to gratify his dark, narcissistic desires.","Nawazuddin Siddiqui, Shweta Tripathi, Harish Khanna",16+ ,"Indian Films, Hindi-Language Films, Romantic Indian Films, Dramas, Romantic Dramas, Romantic Films",Shlok Sharma
80164778,Raees,,,"Mahira Khan, Pakistan's leading female actor, makes her Bollywood debut in this crime drama.","After street smart kid Raees rises to become Gujarat's bootlegging king in the 1980s, he tries to balance his life of crime with helping his people.","Shah Rukh Khan, Mahira Khan, Nawazuddin Siddiqui",16+ ,"Indian Films, Hindi-Language Films, Bollywood Films, Crime Films, Crime Dramas, Action & Adventure, Crime Action & Adventure, Dramas",Rahul Dholakia
81020508,Sanju,Rajkumar Hirani FilmsVinod Chopra Films,Fox Star Studios20th Century Fox,"Four-time National Award winner Rajkumar Hirani directs Ranbir Kapoor as the titular, controversial celebrity.","From the depths of addiction to the heights of stardom to underworld entanglements, this biopic traces the checkered past of Indian actor Sanjay Dutt.","Ranbir Kapoor, Vicky Kaushal, Paresh Rawal",16+ ,"Indian Films, Hindi-Language Films, Bollywood Films, Dramas, Biographical Dramas, Dramas based on real life, Showbiz Dramas",Rajkumar Hirani
80144448,Pink,,,,"A sexual assault victim, unjustly tried for the attempted murder of her attacker, is defended by a retired lawyer who challenges India's rape culture.","Tapsee Pannu, Kirti Kulhari, Andrea Tariang",16+ ,"Critically-acclaimed Films, Indian Films, Hindi-Language Films, Crime Films, Crime Dramas, Dramas, Courtroom Dramas, Social Issue Dramas",Aniruddha Roy Chowdhury
70290904,B.A. Pass,Filmybox n Tonga Talkies,VIP Films,,"Orphaned and at loose ends, young Mukesh falls into the seductive orbit of married Sarika, who leads him ever deeper into a world of sex and betrayal.","Shadab Kamal, Shilpa Shukla, Rajesh Sharma",16+ ,"Critically-acclaimed Films, Indian Films, Hindi-Language Films, Award-winning Films, Filmfare Award-winning Films, Dramas, Dramas based on a book, Independent Dramas, Independent Films",Ajay Bahl
80177776,Naam Shabana,Plan C StudiosCape Of Good Films,Reliance Entertainment,,"A fiery young woman accepts help from a spy agency to avenge her lover's murder. In return, she must prove herself as one of their top recruits.","Tapsee Pannu, Akshay Kumar, Manoj Bajpayee",13+ ,"Indian Films, Hindi-Language Films, Bollywood Films, Crime Films, Action & Adventure, Action Thrillers, Crime Action & Adventure",Shivam Nair
81016193,Bareilly Ki Barfi,Junglee Pictures  B R Studios,AA Films,,"When she falls in love with the author of a novel she adores, bohemian Bitti enlists the help of a local printer to find her new object of affection.","Ayushmann Khurrana, Kriti Sanon, Rajkummar Rao",13+ ,"Indian Films, Hindi-Language Films, Romantic Indian Films, Bollywood Films, Comedies, Romantic Comedies, Dramas, Dramas based on a book, Romantic Dramas, Romantic Films, Romantic Films based on a book",Ashwiny Iyer Tiwari
70152959,Delhi Belly,,,,"Three flatmates get involved in the shady business belonging to one roomie's fiancé, and discover that a global crime syndicate is gunning for them.","Imran Khan, Vir Das, Kunaal Roy Kapur",16+ ,"Critically-acclaimed Films, Indian Films, Bollywood Films, Award-winning Films, Filmfare Award-winning Films, Crime Films, Crime Comedies, Action & Adventure, Action Comedies, Crime Action & Adventure, Comedies, Wacky Comedies, Dark Comedies",Abhinay Deo
70303432,Haider,,,,Shahid Kapoor delivers a searing performance in this Bollywood take on Hamlet that unfolds amid Kashmiri culture and history.,"Shahid Kapoor, Tabu, Shraddha Kapoor",16+ ,"Critically-acclaimed Films, Indian Films, Hindi-Language Films, Bollywood Films, Award-winning Films, Filmfare Award-winning Films, Crime Films, Crime Dramas, Dramas",Vishal Bhardwaj
81010212,"Out of Many, One",,,,"In this documentary short, a diverse group of men and women discuss their personal journeys as they prepare for the U.S. citizenship test.",,7+ ,"Documentaries, Social & Cultural Documentaries","John Hoffman, Nanfu Wang"
80211559,I'm Thinking of Ending Things,,,,An unexpected detour turns a couple's road trip into a terrifying journey through their fragile psyches. Adapted and directed by Charlie Kaufman.,,,"International Films, Dramas",
80196789,Bird Box,,,Sandra Bullock stars in this gripping thriller based on the novel by Josh Malerman. Oscar winner Susanne Bier directs.,"Five years after an ominous unseen presence drives most of society to suicide, a survivor and her two children make a desperate bid to reach safety.","Sandra Bullock, Trevante Rhodes, John Malkovich",16+ ,"Hollywood Films, Dramas, Dramas based on a book, Thrillers, Psychological Thrillers, Sci-Fi Thrillers, Sci-Fi & Fantasy",Susanne Bier
80203920,Nowhere Man,,,,"A strange encounter causes a man awaiting execution to experience alternate timelines, leading to his escape from prison to protect his family.",,,"Series, Chinese  Programmes, Taiwanese TV Programmes, Asian Programmes, Drama Programmes",
80999067,Super Monsters and the Wish Star,,,,"Christmas wishes come true for Lobo, whose favorite cousin arrives for a surprise visit, and for Glorb, who wishes he could be everywhere at once!","Elyse Maloway, Vincent Tong, Erin Mathews",All ,"Animation, Kids' Music, Children & Family Films, Little Kids",
80178603,My Father's Dragon,,,,"Based on the Newbery-winning children's books, this animated film follows a young boy who runs away to an island to rescue and befriend a baby dragon.",,,"International Films, Children & Family Films, Films based on children's books",
80230561,Trinkets,,,,"In this coming-of-age series, three teenage girls from different social circles form an unlikely friendship over their shared affinity for shoplifting.",,,"Series, American Programmes, Teen Programmes, Drama Programmes, Comedy Programmes",
81005492,Wonderland,,,,"Just out of prison and investigating a twisted murder, Spenser is sucked back into Boston’s underbelly. Based on the popular books; Mark Wahlberg stars.",,,Dramas,
80206847,Jab Harry Met Sejal,Red Chillies Entertainment,Red Chillies Entertainment ,,A philandering tour guide in Europe begins to develop feelings for one of his clients while helping her search for her lost engagement ring.,"Shah Rukh Khan, Anushka Sharma, Aru Krishansh Verma",13+ ,"Indian Films, Hindi-Language Films, Romantic Indian Films, Comedies, Romantic Comedies, Romantic Films",Imtiaz Ali
80087743,Tamasha,,,,"Meeting while on vacation, Ved and Tara sense a connection but vow to keep their real identities a secret. Years later, their paths cross again.","Ranbir Kapoor, Deepika Padukone, Piyush Mishra",13+ ,"Indian Films, Hindi-Language Films, Romantic Indian Films, Bollywood Films, Dramas, Romantic Dramas, Romantic Films",Imtiaz Ali
80049194,Piku,MSM Motion PicturesSaraswati Entertainment CreationsRising Sun Films,Yash Raj Films,Bollywood icons Amitabh Bachchan and Deepika Padukone star as father and daughter on a melodramatic road trip.,"A headstrong, hypochondriac father and his strong-willed daughter are forced to endure an emotional roller coaster of a road trip together.","Amitabh Bachchan, Deepika Padukone, Irrfan Khan",13+ ,"Critically-acclaimed Films, Indian Films, Hindi-Language Films, Award-winning Films, National Film Award-winning Films, Filmfare Award-winning Films, Comedies, Dramas",Shoojit Sircar
80091866,Dilwale,,,,"A young couple falls in love, but conflicting loyalties drive them apart. Years later, fate intervenes and hands them a second chance.","Shah Rukh Khan, Kajol, Varun Dhawan",13+ ,"Indian Films, Hindi-Language Films, Romantic Indian Films, Bollywood Films, Action & Adventure, Dramas, Romantic Dramas, Romantic Films",Rohit Shetty
80192420,Half Girlfriend,,,,"Small-town Madhav falls for big-city Riya and wants her to be his girlfriend. But she views their relationship differently, and suggests a compromise.","Arjun Kapoor, Shraddha Kapoor, Vikrant Massey",13+ ,"Indian Films, Hindi-Language Films, Romantic Indian Films, Bollywood Films, Dramas, Dramas based on a book, Romantic Dramas, Romantic Films, Romantic Films based on a book",Mohit Suri
80032081,Queen,,,,A jilted bride decides to go on her European honeymoon anyway -- by herself -- and ends up embarking on a journey of self-discovery.,"Kangana Ranaut, Rajkummar Rao, Lisa Haydon",16+ ,"Critically-acclaimed Films, Indian Films, Hindi-Language Films, Award-winning Films, National Film Award-winning Films, Filmfare Award-winning Films, Comedies, Dramas",Vikas Bahl
