,Name,Actor,Genre,Directors,Maturity,Story-line,Popularity
80038296,Aziz Ansari Live at Madison Square Garden,Aziz Ansari,"Stand-up & Chat Shows, Comedies, Dark Comedies, Stand-up Comedy",Aziz Ansari,16+ ,"Stand-up comedian and TV star Aziz Ansari (""Parks and Recreation"") delivers his sharp-witted take on immigrants, relationships and the food industry.","""Parks and Recreation"" star Aziz Ansari brings his stand-up comedy to a sold out crowd at iconic Madison Square Garden."
80239932,Trevor Noah: Son of Patricia,Trevor Noah,"Stand-up & Chat Shows, Comedies, Stand-up Comedy",David Paul Meyer,13+ ,"""Daily Show"" host Trevor Noah touches on tacos, runaway snakes, camping, racism immunity and lessons he learned from his mother in this comedy special.",
80106793,Handsome: A Netflix Mystery Movie,"Jeff Garlin, Natasha Lyonne, Amy Sedaris","Hollywood Films, Comedies, Wacky Comedies, Dark Comedies, Spoofs & Satires, Mysteries",Jeff Garlin,16+ ,Homicide detective Gene Handsome sets out to solve a woman's murder while searching for clues about what's missing from his personal life.,"In addition to playing the title role, Jeff Garlin (""Curb Your Enthusiasm"") directed and co-wrote the screenplay."
80201680,The Kominsky Method,"Michael Douglas, Alan Arkin, Sarah Baker","Series, American Programmes, Drama Programmes, Comedy Programmes",,16+ ,Acting coach Sandy Kominsky and best friend Norman Newlander keep each other laughing as they navigate the ups and downs of getting older.,Michael Douglas and Alan Arkin star as good friends in this uplifting comedy-drama series from Chuck Lorre.
80097771,A Very Secret Service,"Hugo Becker, Wilfred Benaïche, Christophe Kourotchkine","Series, French TV Programmes, Comedy Programmes",,13+ ,"At the height of the Cold War in 1960, André Merlaux joins the French Secret Service and contends with enemies both foreign and bureaucratic.",
80998905,Sick Note,"Rupert Grint, Nick Frost, Don Johnson","Series, British Programmes, Comedy Programmes",,16+ ,"After slacker Daniel Glass is misdiagnosed with cancer, his lies lead him into an absurd web of fraud, blackmail, suspicion and misadventure.",Rupert Grint and Nick Frost star in this madcap black comedy series that also features Don Johnson and Lindsay Lohan.
80994108,Sisters,"Lucy Durack, Antonia Prebble, Maria Angelico","Series, Australian TV Programmes, Drama Programmes, Comedy Programmes",,16+ ,Her dad's deathbed confession leads Julia to discover she has more than 100 brothers and two sisters: troubled TV star Roxy and uptight lawyer Edie.,"Lucy Durack (""The Letdown""), Dan Spielman (""The Code"") and Magda Szubanski
(""Kath & Kim"") star. From the makers of ""Offspring."""
80180182,Norsemen,"Kåre Conradi, Silje Torp, Nils Jørgen Kaalstad","Series, Norwegian TV, Comedy Programmes",,16+ ,"In 790 AD, the Vikings of Norheim have a hectic schedule that includes pillaging, plundering, enslaving others and solving problems with violence.",
80077977,The Ranch,"Ashton Kutcher, Sam Elliott, Debra Winger","Series, Award-winning TV Programmes, American Programmes, Comedy Programmes",,16+ ,"Being a pro athlete didn't pan out for Colt. Now he's helping his dad and brother keep the ranch afloat, and figuring out how he fits into the family.",Ashton Kutcher stars with Golden Globe nominee Sam Elliott in this comedy set on a ranch.
80117540,Atypical,"Jennifer Jason Leigh, Keir Gilchrist, Michael Rapaport","Series, American Programmes, Teen Programmes, Drama Programmes, Comedy Programmes",,13+ ,"When a teen on the autism spectrum decides to get a girlfriend, his bid for more independence puts his whole family on a path of self-discovery.","Jennifer Jason Leigh and Michael Rapaport star in this comedy-drama created by Robia Rashid (""How I Met Your Mother"")."
80205593,1983,"Robert Więckiewicz, Maciej Musiał, Michalina Olszańska","Series, Polish TV Shows, Crime Programmes, Drama Programmes, Mystery Programmes",,16+ ,"In this dark alt-history thriller, a naïve law student and a world-weary detective uncover a conspiracy that has tyrannized Poland for decades.",
80183329,Aditi Mittal: Things They Wouldn't Let Me Say,Aditi Mittal,"Stand-up & Chat Shows, Comedies, Stand-up Comedy",Fazila Allana,16+ ,"Trailblazing comic Aditi Mittal mixes topical stand-up with frank talk about being single, wearing thongs and the awkwardness of Indian movie ratings.",Aditi Mittal left a job in the corporate world to become one of the first female stand-up comics in India.
80213657,Hari Kondabolu: Warn Your Relatives,Hari Kondabolu,"Stand-up & Chat Shows, Comedies, Stand-up Comedy",Bobcat Goldthwait,16+ ,"Hari Kondabolu breaks down identity politics, celebrity encounters, his mango obsession and more in an unpredictable stand-up comedy special.",
80217826,Kavin Jay: Everybody Calm Down!,Kavin Jay,"Stand-up & Chat Shows, Comedies, Stand-up Comedy",Michael McKay,16+ ,"On a mission to defy stereotypes, Malaysian stand-up comedian Kavin Jay shares stories about growing up in the VHS era with his Singapore audience.",
80240817,Inside the Real Narcos,,"Series, Documentary Programmes, Crime Programmes, British Programmes, Crime Documentaries, Documentaries",,16+ ,"Exposing a rarely seen perspective on the drug wars, ex-Special Forces commando Jason Fox interviews dangerous traffickers and cartel members.",
80175694,Mudbound,"Carey Mulligan, Jason Clarke, Mary J. Blige","Critically-acclaimed Films, Award-winning Films, Dramas, Dramas based on a book, Independent Dramas, Social Issue Dramas, Independent Films",Dee Rees,16+ ,"Two Mississippi families -- one black, one white -- confront the brutal realities of prejudice, farming and friendship in a divided World War II era.","Nominated for four Oscars, including Best Supporting Actress (Mary J. Blige), Best Screenplay and Best Cinematography."
80094648,I Am the Pretty Thing That Lives in the House,"Ruth Wilson, Bob Balaban, Lucy Boynton","Thrillers, Mind Game Thrillers, Mysteries, Psychological Thrillers, Horror Films",Osgood Perkins,16+ ,A nervous nurse who scares easily finds herself caring for an ailing horror novelist while living in a house with hidden secrets.,
80149395,The Alienist,"Daniel Brühl, Luke Evans, Dakota Fanning","Period Pieces, Series, Award-winning TV Programmes, TV Programmes based on Books, American Programmes, Crime Programmes, Drama Programmes, Mystery Programmes",Jakob Verbruggen,16+ ,"In 1896 New York City, psychologist Laszlo Kreizler is enlisted by Police Commissioner Theodore Roosevelt to catch a killer preying on homeless boys.","Based on Caleb Carr's best-selling 1994 novel, whose story continues in his 1997 sequel ""The Angel of Darkness."""
80206300,Annihilation,"Natalie Portman, Jennifer Jason Leigh, Gina Rodriguez","Hollywood Films, Critically-acclaimed Films, Horror Films, Sci-Fi & Fantasy, Sci-Fi Horror Films",Alex Garland,16+ ,"When her husband vanishes during a secret mission, biologist Lena joins an expedition into a mysterious region sealed off by the U.S. government.","""Annihilation"" is from filmmaker Alex Garland, previously the writer and director of ""Ex Machina."""
80157072,Hold the Dark,"Jeffrey Wright, Alexander Skarsgård, James Badge Dale","Hollywood Films, Crime Films, Crime Dramas, Action & Adventure, Action Thrillers, Crime Action & Adventure, Dramas, Dramas based on a book",Jeremy Saulnier,16+ ,"In the grim Alaskan winter, a naturalist hunts for wolves blamed for killing a local boy, but he soon finds himself swept into a chilling mystery.",
80053653,Scream,"Willa Fitzgerald, Bex Taylor-Klaus, John Karna","Series, American Programmes, Teen Programmes, Horror Programmes, Mystery Programmes",,16+ ,"In this new TV series sequel to the classic horror franchise, a cyberbullying incident in Lakewood leads to a murder with chilling echoes of the past.","Horror master Wes Craven, director of the ""Scream"" movie franchise, was an executive producer on this series."
80037657,The Returned,"Kevin Alejandro, Agnes Bruckner, India Ennenga","Series, American Programmes, Drama Programmes, Horror Programmes, Mystery Programmes",,16+ ,Several people come back to their home town in the same week after they've been dead for years in this eerie dramatic series.,"Co-creator of ""Lost"" Carlton Cuse developed this American version of the French TV series."
80239482,The Willoughbys,,"Hollywood Films, Animation, Children & Family Films, Comedies, Dramas, Dramas based on a book",,,"In this animated feature, four kids who are abandoned by their selfish parents learn how to adapt their old-fashioned values to the contemporary world.",
80115676,Hot Girls Wanted: Turned On,,"Series, Documentary Programmes, American Programmes, Documentaries","Jill Bauer, Ronna Gradus, Rashida Jones",18+ ,"Personal stories reveal how the intersection of sex, technology and intimate relationships is rewiring us in fundamental ways.","Producers Jill Bauer, Ronna Gradus and Rashida Jones received an Emmy nomination for the original ""Hot Girls Wanted."""
80176212,Voyeur,Gay Talese,"Documentaries, Social & Cultural Documentaries","Myles Kane, Josh Koury",16+ ,Legendary journalist Gay Talese unmasks a motel owner who spied on his guests for decades. But his bombshell story soon becomes a scandal of its own.,
80095699,Easy,"Aubrey Plaza, Judy Greer, Jane Adams","Series, American Programmes, Comedy Programmes",,16+ ,"This eclectic, star-studded anthology follows diverse Chicagoans fumbling through the modern maze of love, sex, technology and culture.","Prolific indie filmmaker Joe Swanberg also directed Jake Johnson and Orlando Bloom in the drama ""Digging for Fire."""
80095411,Gypsy,"Naomi Watts, Billy Crudup, Sophie Cookson","Series, American Programmes, Drama Programmes",,16+ ,Therapist Jean Holloway develops dangerous and intimate relationships with the people in her patients' lives in this simmering psychological thriller.,Academy Award nominee Naomi Watts serves as both star and executive producer on this sultry series.
80117485,Friends from College,"Keegan-Michael Key, Cobie Smulders, Billy Eichner","Series, American Programmes, Romance Programmes, Comedy Programmes",,16+ ,"Twenty years after graduation, a tight-knit group of college friends reconnects and discovers that love hasn't gotten easier with age.","Keegan-Michael Key, Cobie Smulders, Fred Savage and Billy Eichner head up an impressive cast."
80211465,Wanderlust,"Toni Collette, Steven Mackintosh, Zawe Ashton","Series, Romance Programmes, British Programmes, Drama Programmes, Comedy Programmes",,16+ ,"Unable to revive their fading sex life after many years of marriage, a therapist and her husband decide to start dating other people.","Oscar nominee Toni Collette (""The Sixth Sense"") stars in this thoughtful portrayal of a marriage at a crossroads."
80026506,Love,"Gillian Jacobs, Paul Rust, Claudia O'Doherty","Series, American Programmes, Romance Programmes, Drama Programmes, Comedy Programmes",,16+ ,Rebellious Mickey and good-natured Gus navigate the thrills and agonies of modern relationships in this bold comedy co-created by Judd Apatow.,"Judd Apatow has built a comedy empire with hits like ""Knocked Up,"" ""The 40-Year-Old Virgin"" and ""Trainwreck."""
80177342,Good Girls,"Christina Hendricks, Retta, Mae Whitman","Series, American Programmes, Crime Programmes, Drama Programmes, Comedy Programmes",,13+ ,Three suburban moms orchestrate a local grocery store heist to escape financial ruin and establish independence -- together.,
80218656,Ravenous,"Marc-André Grondin, Monia Chokri, Charlotte St-Martin","Critically-acclaimed Films, Award-winning Films, Horror Films",Robin Aubert,16+ ,"As a zombie plague ravages their rural Quebec town, a scrappy band of survivors join forces to flee the infected hordes in this quiet thriller.",
80167481,How It Ends,"Theo James, Forest Whitaker, Kat Graham","Hollywood Films, Action & Adventure, Action Thrillers, Sci-Fi Thrillers, Sci-Fi & Fantasy, Action Sci-Fi & Fantasy",David M. Rosenthal,16+ ,"When a mysterious disaster turns the country into a war zone, a young lawyer heads west with his future father-in-law to find his pregnant fiancée.","Theo James (""Divergent"") and Oscar winner Forest Whitaker star in this apocalyptic action thriller."
