Unnamed: 0,Name,Actor,Genre,Directors,Maturity,Story-line,Popularity,tconst,averageRating,imdb_rank,page_rank,page_rank_int
80097321,Audrie & Daisy,,"Crime Films, Crime Documentaries, Documentaries, Biographical Documentaries, Social & Cultural Documentaries","Bonni Cohen, Jon Shenk",16+ ,"In this wrenching documentary, two teens are sexually assaulted by boys they considered friends, humiliated online and harassed by their communities.",This heartbreaking documentary earned a Grand Jury Prize nomination at the 2016 Sundance Film Festival.,tt5278460,7.2,327.0,0.00014255022684342685,376.0
80041601,Lovesick,"Johnny Flynn, Antonia Thomas, Daniel Ings","Series, Romance Programmes, British Programmes, Comedy Programmes",,16+ ,"In his quest for true love, Dylan found chlamydia. Joined by friends Evie and Luke, he relives past encounters as he notifies all his former partners.",,tt8705282,3.2,739.0,5.852107565772585e-05,713.0
80117554,She's Gotta Have It,"DeWanda Wise, Cleo Anthony, Lyriq Bent","Series, American Programmes, Romance Programmes, Drama Programmes, Comedy Programmes",,16+ ,Nola Darling struggles to stay true to herself and her dreams while juggling three lovers in this Spike Lee series based on his breakout film.,Oscar winner Spike Lee infuses this powerful series with musical interludes and tributes to his artistic idols.,tt3713588,6.7,454.0,5.7764780991293905e-05,734.0
80094728,Marcella,"Anna Friel, Nicholas Pinnock, Ray Panthaki","Series, Award-winning TV Programmes, Crime Programmes, British Programmes, Drama Programmes",,16+ ,"Despite marriage woes, a tragic loss, memory blackouts and her struggles as a mom, a London detective excels at what she does best: catching killers.",Anna Friel won an International Emmy Award for Best Actress in 2017 for her performance as DS Marcella Backland.,tt5269594,7.5,242.5,0.00015979961904897467,360.0
80158577,Pandora,"Kim Nam-gil, Kim Joo-hyun, Jung Jin-young","International Films, Korean Films, Dramas, Social Issue Dramas, Thrillers",Park Jung-woo,16+ ,"When an earthquake hits a Korean village housing a run-down nuclear power plant, a man risks his life to save the country from imminent disaster.",,tt7668298,6.5,499.5,7.248828224994797e-05,557.0
80062047,Degrassi: Next Class,"Amanda Arcuri, Amir Bageria, Soma Bhatia","Series, Canadian TV Programmes, Teen Programmes, Drama Programmes",Stefan Brogren,13+ ,"Degrassi's next generation of high-tech newbies and returning students navigates real-world high school drama. If you're a teen, this is your life.",,tt5320160,7.1,357.5,9.172650039135085e-05,465.0
80143362,Happy Anniversary,"Noël Wells, Ben Schwartz, Joe Pantoliano","Hollywood Films, Comedies, Romantic Comedies, Romantic Films",Jared Stern,16+ ,A quirky couple spends their three-year dating anniversary looking back at their relationship and contemplating whether they should break up.,,tt6606286,8.3,78.0,8.27760593016149e-05,499.0
80218111,Catching Feelings,"Kagiso Lediga, Pearl Thusi, Akin Omotoso","International Films, Comedies, Dark Comedies, Romantic Comedies, Romantic Films",Kagiso Lediga,16+ ,"Amid growing tensions in their marriage, a Johannesburg professor and his journalist wife find their lives upended by a famous, hard-partying author.",,tt6383388,5.5,659.5,8.097108932017488e-05,506.0
80171022,The Incredible Jessica James,"Jessica Williams, Chris O'Dowd, Lakeith Stanfield","Critically-acclaimed Films, Comedies, Romantic Comedies, Independent Films, Independent Comedies, Romantic Independent Films, Romantic Films, Romantic Favourites",Jim Strouse,13+ ,"Burned by a bad breakup, a struggling New York City playwright makes an unlikely connection with a divorced app designer she meets on a blind date.",,tt5990342,6.5,499.5,8.757337877618075e-05,480.0
80160081,Slam,"Ludovico Tersigni, Jasmine Trinca, Luca Marinelli","International Films, Comedies, Dramas, Dramas based on a book",Andrea Molaioli,13+ ,"Teen father-to-be Sam imagines his future as a young parent and finds a surprising mentor while reading about his idol, pro skateboarder Tony Hawk.","This coming-of-age movie is based on a novel by Nick Hornby, whose ""High Fidelity"" and ""About a Boy"" also became films.",tt1173568,6.8,429.0,6.514004273236122e-05,620.0
80097725,Coin Heist,"Sasha Pieterse, Alexis G. Zall, Alex Saxon","Hollywood Films, Teen Films, Heist Films, Children & Family Films, Dramas, Dramas based on a book",Emily Hagins,13+ ,"When a crisis threatens to destroy their high school, four teens hatch a daring plan to raise $10 million. Step one? Breaking into the U.S. Mint.","Star Sasha Pieterse won a Teen Choice Award for her role as Alison DiLaurentis in ""Pretty Little Liars.""",tt5740806,4.8,699.0,7.968377293162235e-05,511.0
80108984,Deidra & Laney Rob a Train,"Rachel Crow, Ashleigh Murray, Sasheer Zamata","Teen Films, Critically-acclaimed Films, Crime Films, Crime Dramas, Crime Comedies, Comedies, Dramas, Independent Dramas, Independent Films, Independent Comedies",Sydney Freeland,13+ ,"With their mother in jail and bills piling up, ambitious small-town teens Deidra and Laney plot a series of train robberies to keep themselves afloat.",,tt4144332,6.1,590.5,5.136227741637157e-05,931.0
