,Unnamed: 0,Key,Name,Actor,Genre,Directors,Maturity,Story-line,Popularity,Production,Distributed_by,imdb,Time
0RZEG1T2RQ0MVN1NC9SOV322G0,,,Sultan,,"Drama, International, Sports",, 13+ Teens,,,,,7.1,169.0
0F71KQIBA1EP6VNKHG7W9AVTOV,,,Ek Tha Tiger,,"Action, International, Romance",, 13+ Teens,,,,,5.5,132.0
0FJUB6AYKPWA7T41AZIWH8W7EL,,,Commando 2,,"Action, International",, 13+ Teens,,,,,5.2,122.0
0JXJKOIC9KZHVEBX1B2IFCZ1Y9,,,Badmaash Company,,"Drama, International",, 13+ Teens,,,,,6.0,141.0
0OWKL4FD2I2KRTXS93K8P92T3Y,,,Gunday,"Ranveer Singh, Arjun Kapoor, Priyanka Chopra",International,Ali Abbas Zafar, 13+ Teens,,,,,2.1,152.0
0F71JVNW1BNHM6RCELRKG1J1SU,,,Don 2,"Shah Rukh Khan, Priyanka Chopra, Hrithik Roshan","International, Action",Farhan Akhtar, 13+ Teens,,,,,7.1,147.0
0QFZHDS4DQG89QKR201APM9MUC,,,Brothers,"Akshay Kumar, Sidharth Malhotra, Jackie Shroff","International, Sports",Karan Malhotra, 13+ Teens,,,,,6.7,155.0
0IQYENGN55BYQM0MHANNDPOQUY,,,Golmaal Again,"Ajay Devgn, Parineeti Chopra, Arshad Warsi","International, Comedy",Rohit Shetty, 13+ Teens,,,,,5.0,144.0
0O70NFJBTTCUD9ESAUIA4VHBF1,,,Kick,"Salman Khan, Jacqueline Fernandez, Nawazuddin Siddiqui","International, Drama, Action",Sajid Nadiadwala, 13+ Teens,,,,,5.4,140.0
0K1TUOVK8SWWKONJQJ3H2Y70GY,,,Mission,"Tom Cruise, Jeremy Renner, Simon Pegg",Action,Brad Bird, 13+ Teens,,,,,7.4,132.0
0SKQAA3E28S4H76KDJ505NIW55,,,Noor,,"Comedy, International",, 13+ Teens,,,,,3.9,116.0
0IV75JQ6N55Q6YYBPUF6HHKBFV,,,Trapped,,International,, 13+ Teens,,,,,7.6,101.0
0OWMGWGHN33DG7UAGFFWQ53W5B,,,Vodka Diaries,"Kay Kay Menon, Raima Sen, Mandira Bedi","International, Suspense",Kushal Srivastava, 13+ Teens,,,Shemaroo Entertainment Ltd,,,
0JXJKOIK3OG8LIMD7PWPRX7YIL,,,Detective Byomkesh Bakshy,,"Suspense, International",, 16+ Young Adults,,,,,7.6,138.0
0JTBTCU7LK6QVISNC1KMTEPLOV,,,Deadline - Sirf 24 Ghante,"Irfan Khan, Konkana Sen Sharma, Sandhya Mridul","Suspense, International",Tanveer Khan, 13+ Teens,,,Shemaroo Entertainment Ltd,,,
0I5NEL5U86UBMHUQR9ETSWRZ0Y,,,Mumbai Central,"Rajshri Deshpande, Brijesh Tiwari, Chetanya Adib","Drama, International",Karan Radhakrishna, 13+ Teens,,,Shemaroo Entertainment Ltd,,,
0OB9GCC6FN0ZO3J5ZAY2N3B689,,,Dhokha,"Muzammil Ibrahim, Tulip Joshi, Anupam Kher","International, Drama",Pooja Bhatt, 16+ Young Adults,,,Vishesh Films,,6.3,121.0
0I1CBXF5D76XUGNVRHZJ2BXATE,,,Talaash,,"Suspense, International",, 13+ Teens,,,,,7.3,140.0
0U8DYGB6RNGPGK01JOZ35W10BP,,,Citylights,"Rajkumar Rao, Mallhar Goenka, Patralekhaa","Drama, International",Hansal Mehta, 13+ Teens,,,,,7.3,126.0
0LL9J6I5NL4UUR989LIPSW8ID7,,,Kaagaz Ke Fools,"Vinay Pathak, Mugdha Godse, Raima Sen","International, Comedy",Anil Chaudhary, 13+ Teens,,,Shemaroo Entertainment Ltd,,,
0TAAGSBYTZEPAGPLK5DY2JN4M0,,,Shahid,,"Drama, International",, 13+ Teens,,,,,8.3,112.0
0KN5ZN0SOBXV6X2LLK8O1J4MDF,,,Firaaq,"Naseeruddin Shah, Paresh Rawal, Deepti Naval",Drama,Nandita Das, 13+ Teens,,,Shemaroo Entertainment Ltd,,,
0JGHYCU38CSZ2JGWRCXI9I1HGX,,,Darr@ The Mall,"Jimmy Shergill, Nushrat Bharucha, Arif Zakaria","International, Horror, Suspense",Pawan Kripalani, 13+ Teens,,,,,5.0,115.0
0RV5XG7UWRFK89CSDULSFOE0ZU,,,बैंक चोर,"Riteish Deshmukh, Vivek Anand Oberoi, Rhea Chakraborty","International, Comedy",Bumpy, 13+ Teens,,,,,5.9,120.0
0IQXL0BSRD53FLSZI4KNIY21IJ,,,OK Jaanu,"Aditya Roy Kapur, Shraddha Kapoor, Naseeruddin Shah","International, Romance",Shaad Ali, 13+ Teens,,,,,5.1,134.0
0NPZVHCWFV5VAHMMMZF8BO6OUR,,,Justice League,"Ben Affleck, Henry Cavill, Amy Adams",Action,Zack Snyder, 13+ Teens,,,Warner Bros.,,,
0LTSHNB3VUXQ2J8SXQ6VNNCLV3,,,San Andreas,"Dwayne ""The Rock"" Johnson, Carla Gugino, Alexandra Daddario",Action,Brad Peyton, 13+ Teens,,,wb,,,
0MRVSUJ8GRFOWWI7QY8R0QQ12M,,,Spider-Man,"Tom Holland, Michael Keaton, Jon Favreau",Action,Jon Watts, 13+ Teens,,,Pascal Pictures,,7.5,133.0
0SGG6F2SWFCM3P02YI4IEQ7K8S,,,Mission,"Tom Cruise, Philip Seymour Hoffman, Ving Rhames","Action, Suspense",J. J. Abrams, 13+ Teens,,,,,6.9,125.0
0HG3BE8QQOPKYNJBO9ANTWIXDZ,,,Mitron,"Jackky Bhagnani, Kritika Kamra, Prateek Gandhi",Comedy,Nitin Kakkar, 13+ Teens,,,,,,
0OSB4TR8K3SVJH6E73SAIJDTT7,,,Bewakoofiyaan,"Rishi Kapoor, Ayushmann Khurrana, Sonam Kapoor","Drama, International, Comedy",Nupur Asthana, 13+ Teens,,,Yash Raj Films Pvt. Ltd.,,5.5,117.0
0JKR7VWLN6KY2QZ4D96FF5A6P7,,,Luv Ka The End,"Taaha Shah, Shraddha Kapoor, Riya Bamniyal","Drama, International, Comedy",Bumpy, 13+ Teens,,,Y - Films,,4.8,106.0
0U46NXNYKBRZSGYFIOL0NST1M7,,,U Turn (Telugu),"Samantha Akkineni, Aadhi Pinishetty, Rahul Ravindran","Suspense, International",Pawan Kumar, 13+ Teens,,,,,,
0LY1YP54ZG8YKX1GTVL8ISES6K,,,Bharat Ane Nenu,"Mahesh Babu, Kiara Advani, Prakash Raj","Drama, International",Koratala Siva, 13+ Teens,,,,,,
0KADEUKG97Q4OKQYJJ3JFTSDUS,,,Touch Chesi Chudu,"Ravi Teja, Raashi Khanna, Seerat Kapoor","Drama, International",Vikram Sirikonda, 13+ Teens,,,,,,
0HBT3HMMPE7LSOS2S0SP7IRWLC,,,Bhaagamathie,"Anushka Shetty, Unni Mukundan, Jayaram","International, Suspense",G. Ashok, 13+ Teens,,,,,,
0M2BKD0OZ1JHNSP6B5RDDLIISD,,,KAALA (Telugu),"Super Star Rajinikanth, Nana Patekar, Huma Qureshi","Action, International",Pa.Ranjith, 13+ Teens,,,,,,
0MF3FI1MJXNZ4J422PJI3TJ2OV,,,Kong,"Tom Hiddleston, Samuel L. Jackson, John Goodman","Horror, Adventure, Action",Jordan Vogt-Roberts, 13+ Teens,,,Warner Bros.,,6.7,118.0
0HSV48B67LQUWLLQCR26F6ZJFZ,,,Rangasthalam,"Ram Charan, Samantha Akkineni, Aadhi Pinisetty","International, Drama",Sukumar, 13+ Teens,,,,,,
0G9GD18GC8VP1LVGTB05V2JW9W,,,Officer,"Nagarjuna Akkineni, Myra Sareen","Action, International",Ram Gopal Varma, 13+ Teens,,,,,3.7,116.0
0NYIZEJK3AEMMBCI1RQEF99A56,,,PASSENGERS,"Jennifer Lawrence, Chris Pratt, Michael Sheen","Action, Fantasy, Romance",Morten Tyldum, 13+ Teens,,,Columbia Pictures,,,
0JGJKXH9YQHR5W34M0D7RSND5Y,,,Geostorm,"Gerard Butler, Jim Sturgess, Abbie Cornish","Science Fiction, Action",Dean Devlin, 13+ Teens,,,Warner Bros.,,5.3,109.0
0MJBMK6WDEHDTMGG9NJC3ZFXL5,,,Journey to the Center of the Earth (2008),"Brendan Fraser, Josh Hutcherson, Anita Briem","Action, Science Fiction",Eric Brevig, 7+ Older Kids,,,New Line,,5.8,92.0
0LY16TKTTMJQCXKTCKW3JOFE0H,,,Hancock,"Will Smith, Charlize Theron, Jason Bateman","Comedy, Action",Peter Berg, 13+ Teens,,,"Columbia Pictures Industries, Inc.",,6.4,92.0
0KADR04T1TEQ6TPT34XYL5WYN3,,,Man of Steel (2013),"Henry Cavill, Amy Adams, Michael Shannon",Action,Zack Snyder, 13+ Teens,,,Warner Bros.,,,
0QOJQDZH8Q9CONBTKR4AXWPN3U,,,I Am Legend,"Will Smith, Alice Braga, Dash Mihok","Horror, Science Fiction",Francis Lawrence, 13+ Teens,,,Warner Bros.,,,
0GZ0MEY5MKSXFRWD4IKU1MDUGE,,,Jack the Giant Slayer,"Nicholas Hoult, Eleanor Tomlinson, Stanley Tucci","Adventure, Fantasy",Bryan Singer, 13+ Teens,,,Warner Bros.,,,
0JTBVK6L41AABWSV8DK605AI0U,,,Inception,"Leonardo DiCaprio, Ken Watanabe, Joseph Gordon-Levitt","Suspense, Science Fiction, Action",Christopher Nolan, 13+ Teens,,,wb,,,
0G0X3Y41F8HX0BHVRJWXWNKZ3Q,,,Wonder Woman (2017),"Gal Gadot, Chris Pine, Robin Wright",Action,Patty Jenkins, 13+ Teens,,,Warner Bros.,,7.5,141.0
